id,track,artist,uri
X043,Apache,Micheal Viners Incredible Bongo Band,spotify:track:51ml2bJs9zDLv1PbzNQzPP
X044,Inside My Love,Minnie Riperton,spotify:track:64qumU8DunSmNXYQKuIVWv
X045,Multiply,Jamie Lidell,spotify:track:1UH5ctIcXElgMutii86EWF
X046,Other Side of the Game,Erykah Badu,spotify:track:6s4xndGKUhW0xXPYvFlwcL
X047,Brother Green (The Disco King),Roy Ayers,spotify:track:50lTgbqKyYcP5gSCF35DGZ
X048,Ready Or Not Here I Come (Can't Hide From Love) (Fugees - Ready Or Not),The Delfonics,spotify:track:1hRaEKdZS2Got9uLXUhMat
X049,God Made Me Funky,The Headhunters,spotify:track:7uWhDrn8EDbGWOvxVC3Yah
X050,Catch A Groove,The Juice,https://www.youtube.com/watch?v=Os29Q0490SY
X051,Conga,The Lafayette Afro Rock Band,spotify:track:3ON7Hff9T4dMmXQcrugxHH
X052,I Can't Write Left-Handed,Bill Withers,https://open.spotify.com/track/4u5caeri2MC9V32n9OBuZT?si=3a56143dd0ac4cb2
X053,Sesame Street,Blowfly,spotify:track:1gvIG4GNSXaQeocvvczU3d
X054,Sun Is Shining,Bob Marley,spotify:track:4iBTJ1aZPY3VHjc8PR3bDx
X055,Cookies,Brother Of Soul,spotify:track:0zCDcRRlmG4T6fLiobepct
X056,Love Is You,Carol Williams,spotify:track:4WOR9U6PdHiXOupobOIyra
X057,(Runaway) I Wouldn't Change A Thing,Coke Escovedo,https://open.spotify.com/track/1VxJgoYxMDSHq9z5QRBhlt?si=2a2fc675561647b6
X058,Big Beat,Billy Squier,spotify:track:1kGb78PHGlylL7s9Nw79Si
X059,Mr. Magic,Grover Washington Jr.,spotify:track:4RKyUae94lKS1hZNXXVrny
X060,Dance To The Drummer's Beat,Herman Kelly & Life,spotify:track:5A8eiQSMXDR9IZbtVLvq1K
X061,Uphill Peace Of Mind,Kid Dynamite,spotify:track:0cgUKaQC3B31RVfmWcGr4u
X062,Gimme What You Got,Le Pamplemousse,https://www.youtube.com/watch?v=Sl_VYPCvaNU
X063,Gotta Get Outta Here,Lucy Hawkins,spotify:track:4owrcXj9TiFIPV5P8Y71Hw
X064,Love Love's To Love,Lulu,spotify:track:2WEkeChOSrQmk33ia7qynB
X065,You Can't Love Me If You Don't Respect Me,Lyn Collins,spotify:track:7GR8CuYu07nZAGRzfgmyRH
X066,California Soul,Marlena Shaw,spotify:track:0OwvrdjaJOypNsNQHyBWE5
X067,Chase The Devil,Max Romeo & The Upsetters,spotify:track:6KGggJ08SRmMuJojRYM4Lv
X068,My Love Is Your Love,Whitney Houston,spotify:track:1ckU1EhAO0Nr73QYw24SWJ
X069,Rags & Old Iron,Nina Simone,https://open.spotify.com/track/7vOrqE11mvVzgrLQzPHNd3?si=cb0f9ee1eb154e0c
X070,Joyous,Pleasure,spotify:track:1PLbAq2vbYJTAP9pbEoGmY
X071,Let's Dance,Pleasure,spotify:track:2QTljXsDGXbdjHfxXfLYun
X072,Theme From S.W.A.T,Rhythm Heritage,spotify:track:5x9xxVr7nJ9xMfDIW02Nv3
X073,Into My Own Thing,Sly & The Family Stone,spotify:track:1jKFBuegXD4DPc7Gd8HhJm
X074,2001,The Black Motion Picture Experience,https://open.spotify.com/track/3KCwFvfc1EjxY7VKdHEX2P?si=777c3dea874c4309
X075,The Champ,The Mohawks,spotify:track:4Q3aK1Fqo2n9HD8Hc0hb2G
X076,Yes We Can Can,The Pointer Sisters,spotify:track:5cfCiy2vEqsInb0m2SCJd9
X077,Honky Tonk Woman,The Rolling Stones,spotify:track:7HIG9Utsra6sL79nA1Tn0y
X078,Hector,The Village Callers,spotify:track:0b0D2vtzf5nmxPMdny3uaU
X079,"Soul, Soul, Soul",The Wild Magnolias,https://open.spotify.com/track/60wfa7SrLVXCtle7n03tOZ?si=9f9c0f20f28a498a
X080,Yellow Sunshine,Yellow Sunshine,spotify:track:2qmmw7HDfGNVFr3e9s26Cc
X081,I Think I'd Do It,Z.Z. Hill,spotify:track:5NMaG50oGCHROrlTrrSlP3
X082,Walk This Way,Aerosmith,spotify:track:4JfuiOWlWCkjP6OKurHjSn
X083,Celebration Suite,Airto Moreira,spotify:track:0KOAhmdokRcWdhTm38Prk7
X084,Chain of Fools,Aretha Franklin,spotify:track:2oZmMp5M6L0Rh7G84Um2tF
X085,Star Wars,Dave Matthews,https://www.youtube.com/watch?v=Ol5_IDvXAYg
X086,Frisco Disco,Eastside Connection,spotify:track:2CjDj3z1VvFHxABh1qQoWc
X087,Unhooked Generation,Freda Payne,spotify:track:0ejmD8lAhCxJJohUBxwfko
X088,Reach Out Of The Darkness,Friend & Lover,spotify:track:3DrlHWCoFqHQYGwE8MWsuv
X089,Sing Sing,Gaz,spotify:track:1MIRXsOGYeFLs40Fr8JzRC
X090,E.V.A.,Jean-Jacques Perrey,https://open.spotify.com/track/2NbfYJS98uNTTIof5bv1JO?si=7c34d18846a048d7
X091,(Let Me) Let Me Be Your Lover (Stereo Mc's - Connected),Jimmy Bo Horne,spotify:track:0cdaVT62LM9lnQTSNONBAS
X092,Let Me Be Your Lover,Jimmy Bo Horne,spotify:track:0cdaVT62LM9lnQTSNONBAS
X093,I Can't Stop,John Davis & The Monster Orchestra,spotify:track:3KEkwKnRiFZd7dUmpB2xXS
X094,Cavern,Liquid Liquid,https://open.spotify.com/track/6j370rNNGiu8zOnoSTioPk?si=340621df59ff4c19
X095,Inner City Blues (Make Me Wanna Holler) (Mc Solaar - Armand Est Mort),Marvin Gaye,https://open.spotify.com/track/5hReWjUHqPqkHi31G7izL4?si=fe4f8836855d461c
X096,T Plays It Cool,Marvin Gaye,spotify:track:1JweeRbJ87ViccTOW7cwz9
X097,Substitution,Melvin Bliss,https://www.youtube.com/watch?v=y3RaaHfzcD0
X098,Bongo Rock,Michael Viner's Incredible Bongo Band,spotify:track:2teN2uYbwMQraPG7Gu2Zfo
X099,One Man Band (Plays All Alone),Monk Higgins,spotify:track:7ABZ5S3ONDvq5cjQKPww4p
X100,Jam On The Groove,Ralph MacDonald,spotify:track:1BlUcMFVlXu3PjtxSvMN7j
X101,I Just Want To Celebrate,Rare Earth,spotify:track:4iW98ZK1gNzcXmQ5TgTD9X
X102,We Are Neighbors,The Chi-Lites,spotify:track:2szswQ73qCz0YhqbSPJmyU
X103,It's Great To Be Here,The Jackson 5,spotify:track:78qHwCaeAn0VIQcFj1AyXk
X104,It's Just Begun,The Jimmy Castor Bunch,spotify:track:5BF6J7ZHbncg8ynxI22ER4
X105,Misdemeanor,The Sylvers,spotify:track:0ApFfTbtX1775WkrzZSx4y
X106,You Dont Know How Much I Love You,Alphonse Mouson,spotify:track:6SII3ldL0o7Lm9PcHKugw7
X107,Apple Tree,Erykah Badu,spotify:track:2jAn0rAOyLW6hIEuIDNcoT
X108,Strategy,Archie Bell & The Drells,spotify:track:64TIJiqmJn7ZnIYzYAEpbL
X109,Merengue,Bolivar,https://open.spotify.com/track/4X6CPie3vK0Cr98vyQtUKj?si=1f66f4cd3cad4183
X110,Indiscreet,D.C. LaRue,https://open.spotify.com/track/7r1G4ZnMgn6OajgrO6mlDE?si=e6bbf7e306f24663
X111,Knock Him Out Sugar Ray,Experience Unlimited,https://www.youtube.com/watch?v=S0sMbtYzLF8
X112,Get Up And Dance,Freedom,spotify:track:5jHoV1o7W5GhUGWV19dDlo
X113,Kool Is Back,Funk Inc.,spotify:track:2p54LnT9zDd2uqYf93Zpul
X114,Smokey Joe's La La,Googie Rene,spotify:track:7aCBZdR17fK5SSeZXWBtk3
X115,Wiggle-Waggle,Herbie Hancock,spotify:track:2akqjwBZxyDIEJEJXq4Cvx
X116,Phenomena Theme,In Search Of Orchestra,https://open.spotify.com/track/3Lahjpap5zWwezFZ9MwW3U?si=ff78230fac67429b
X117,Soul Pride,James Brown,https://open.spotify.com/track/23eiL50H4q1THHhch2wQkX?si=5e1d735283aa42b8
X118,Dance Across The Floor,Jimmy Bo Horne,spotify:track:1qasZQjHj5Toth6lw0aX3m
X119,Jack And Diane,John Cougar,https://open.spotify.com/track/7bNBUALnqxUMmS8CPtqoSr?si=709b8c40b610496e
X120,Planetary Citizen,John McLaughlin,spotify:track:4kToN8JAYWU4VoTBSJ6Yms
X121,Just,Alex Greenwald/Mark Ronson,https://open.spotify.com/track/0bcFaAiXV4tZL5GN6p546e?si=9e4f38c3e8074f7f
X122,Far Beyond,Locksmith,spotify:track:5zaIS9ZcseJrgTBVUttgtR
X123,Its My Thing,Lyn Collins,spotify:track:5n62LMtydBESB1x1EX0FTk
X124,Long Red,Mountain,spotify:track:3O2K8q0nLo5gcIOLs9TFue
X125,Let Me Down Easy,Rare Pleasure,spotify:track:3RcRE1Chqbrp1dzNewMhWX
X126,Boogie Back,Roy Ayers,spotify:track:6IST9f4O5DtXuxal7RM7A3
X127,Chicago Bus Stop (Ooh I Love It) (Bentley Rhythm Ace - Bentley's Gonna Sort You Out),Salsoul Orchestra,https://open.spotify.com/track/3IQHOlNQdfwK9XvJW28ztD?si=6f3f1bdb91f8404b
X128,Ain't We Funkin Now,The Brothers Johnson,spotify:track:2sLPpoWJkmvizELriXX8nb
X129,House Of Rising Funk,The Chubukos,https://www.youtube.com/watch?v=M3-MHi5gRow
X130,Burning Bridges (Kelly's Heros),The Mike Curb Congregation,spotify:track:3vebNfy1J5fqvz05hKt2Xl
X131,Johnny The Fox,Thin Lizzy,https://open.spotify.com/track/1ZN7OEckWRCFlKIpDHceXE?si=44583147c587450c
X132,Give It To You,Upp,spotify:track:0LQz1HpmstT9nPzXftPTjl
X133,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,spotify:track:5K09WxKdlkroDyEVyOSySy
X134,Heaven & Hell,20th Century Steel Band,https://open.spotify.com/track/1SrGyJHwgPMqQ8KPmpUDRo?si=26c893d5e1414c52
X135,Dance With You,Carrie Lucas,spotify:track:5pgAOGmNDI5J00oOMGQXAN
X136,Fate,Chaka Khan,spotify:track:0mF5FNUtsUBKCxcnEvl5W1
X137,Oh Honey,Delegation,spotify:track:3TiCuJiisBOB9HzKAM6FDG
X138,Chella'lla,Disco Italiano,https://www.youtube.com/watch?v=2Q5SUj-oP3g
X139,Hook And Sling (Part 1),Eddie Bo,spotify:track:1NYjvSAqW4O3C8tZInRlLe
X140,Love's Theme,Fausto Papetti,https://open.spotify.com/track/5aLdQsthtnHpt84CTBrkAv?si=dae3c6d515174ce2
X141,Blow Your Head,Fred Wesley & The JB's,spotify:track:72qWtVWATU9BIIpdGwAJKl
X142,Good Old Music,Funkadelic,spotify:track:3uE0ByqQqgRKIo51YE4rWC
X143,Love And Affection,Ike White,spotify:track:3M2ZlyrtKckGc5iJfPXVbF
X144,Pussy Footer,Jackie Robinson,https://www.youtube.com/watch?v=6rV-7E9PrJs
X145,Shangrila,La Pregunta,https://www.youtube.com/watch?v=W_xMaCVfan8
X146,Chicken Yellow,Los Miami,https://open.spotify.com/track/7zioLX771utX161V8GVvVm?si=fbf9bf16b97d433d
X147,Hard To Handle,Otis Redding,spotify:track:7FXuCkl1kfxwS5icDjTwbM
X148,Bouncy Lady,Pleasure,spotify:track:3BEMEXGQS7SzKiXt3hTCII
X149,Burning Spear,S.O.U.L.,spotify:track:1pBKOictvpiDFIhLw4UIdv
X150,Dynamite (The Bomb),Shotgun,https://www.youtube.com/watch?v=mh0kt38lfrE
X151,Baby Let Me Take You (In My Arms) (De La Soul - Say No Go),The Detroit Emeralds,spotify:track:3a7XVyRJjALtpwueWmGR12
X152,Space Dust,The Galactic Force Band,https://www.youtube.com/watch?v=AfjEKWuQbcA
X153,I Believe In Music,The Kay Gees,spotify:track:5X6S4Op2MeLZMYsIh5Ufwn
X154,Satin Soul,The Love Unlimited Orchestra,spotify:track:2uh4xWYmi6FRaoZqmj8SaF
X155,Handclapping Song,The Meters,spotify:track:3COOd5xqfP3VUeTZtUKcvD
X156,Ashley's Roachclip,The Soul Searchers,spotify:track:5KTc1UNNv8HaVFSgRy4gbR
X157,Looking Through My Window,Tom Jones,spotify:track:2tJUEJnaLLPqIkmVZEqR5s
X158,Seven Minutes Of Funk,Whole Darn Family,spotify:track:5bSd1uLuLjLreeig11RoVq
X159,You See The Trouble With Me,Barry White,spotify:track:3O48gtvD20jxiNtT7tWr4C
X160,Whiskey And Wine,Bram Tchaikovy,https://www.youtube.com/watch?v=n631PDYTytk
X161,Gangster Boogie,Chicago Gangsters,spotify:track:7mnGfooMSPfir1VcFnjqpk
X162,Ride Sally Ride,Dennis Coffey,https://open.spotify.com/track/4MmcVO14QHVblUljkqFDQK?si=439201f89a574df9
X163,It's A Shame,Detroit Spinners,spotify:track:1l1YTy9nJ0trwhsCGcimly
X164,Everyman,Double Exposure,spotify:track:6fsBJ3YsdOgZ8XDuiaX0CS
X165,Funky Music Is The Thing,Dynamic Corvettes,https://www.youtube.com/watch?v=cRHC_NaM7Xg
X166,Cola Bottle Baby,Edwin Birdsong,spotify:track:7EVDIXEOFAAvzwu6xk0nUz
X167,Higher Ground,Ellen McIllwaine,spotify:track:1ATbbtHA9z8hQ1nG10vf6W
X168,Last Night Changed It All,Esther Williams,https://open.spotify.com/track/01dRHOHPbadw3O6rbBPqCx?si=15bb15d86d514e37
X169,Family Tree,Family Tree,spotify:track:26ugarT7QUKgYO4vpAKPOc
X170,The Easiest Way To Fall,Freda Payne,spotify:track:1jOYWxTipPialtQWXiF8as
X171,Rock Music,Jefferson Starship,spotify:track:6UhEeEUvgkj6fVHSY9ZxeW
X172,You Are What You Are,Magic Touch,https://www.youtube.com/watch?v=Vj6yCYfMRBU
X173,Put The Music Where Your Mouth Is,Olympic Runners,spotify:track:4AQRAAvGyVHx9WRJYrus8q
X174,Deep Gully,Outlaw Blues Band,spotify:track:723h4WfekzKJIvcAuSW7mc
X175,Play That Funky Music,Wild cherry,spotify:track:5uuJruktM9fMdN9Va0DUMl
X176,Take The Money And Run,Steve Miller Band,spotify:track:1ZhrREyOOeFV6TxDOyiPwu
X177,Fatbackin',The Fatback Band,spotify:track:5EerNLkGHRCU0IHJr7dYvb
X178,You And Love Are The Same,The Grassroots,spotify:track:6mpfzUBkVRYEZPTtpHnwA4
X179,I Like Funky Music,Uncle Louie,spotify:track:6uUjQKZ7v1X6HQk6A9GtgE
X180,Good Humour Man,Blue Mitchell,spotify:track:2FW0vEEvIS6lPSrGgJ45Sm
X181,Sport,Lightnin' Rod,spotify:track:2qzP8LQfjxC9tmRFcGyc9m
X182,Light My Fire,Shirley Bassey,spotify:track:2DYNLPKJbmJEdI9JyTV2kf
X183,Wear It Out,Star Gard,spotify:track:0OmXNiWR8VZCsx2GfwpvCO
X184,Groove To Get Down,T-Connection,spotify:track:7G2woxZQCLiw0FQ3BMSoTz
X185,Heartbeat,Taana Gardner,https://open.spotify.com/track/0YJD3MdZPV3zDZ8eXVZYkM?si=b3efe1f35161437a
X186,Wicky Wacky,The Fatback Band,spotify:track:3HDyefhnzp2Jg10vt4rhr0
X187,Beat Girl,The John Barry Seven,spotify:track:0y6lHSPDhyA3NP9v9yMTX1
X188,I Love You More And More,Tom Brock,spotify:track:0DqNYjeqZICiYTMHLcS0Ty
X189,Sneakin' In The Back,Tom Scott,spotify:track:4pKaT7HhbCqWE69PdcAAk5
X190,Reach Up,Toney Lee,spotify:track:50vk85Bpfnz3DIX0ag7g6w
X191,Bonus Beat,Various Artists,https://www.youtube.com/watch?v=oNBN-vUf0LY
X192,Inside Out,American Gypsy,spotify:track:1uXM1ugzaulr1uuZ1K3qsr
X193,Stop The Rain,Average White Band,spotify:track:2ukbQo7Fs7zYYxhnQa73T9
X194,Candy,Cameo,spotify:track:0Aj8EagrPfDoOe5OlUdrLC
X195,Certainly,Erykah Badu,spotify:track:3WgutPPpDfVHYgwPGXKFY1
X196,Corazon,Creative Source,spotify:track:6zRnmEqZ3RuDpRhkA5cVfJ
X197,Love Hangover,Diana Ross,spotify:track:4UqPeeSyRt59KZmC0aA2Ni
X198,Touch & Go,"Ecstasy, Passion & Pain",https://open.spotify.com/track/0kcOZmGxC8XcB8YyU8IOOH?si=088389b7354744c7
X199,I Likes To Do It,People's Choice,spotify:track:1CQfxRGL9FQSQvWhGD1OEi
X200,Soul Bossa Nova (Original Mix) (Dream Warriors - My Definition Of A Boombastic),Quincy Jones,https://open.spotify.com/track/0Jw3cPBXlGnA6DEJrZSTI0?si=5b0bab78428f42b4
X201,Think,Aretha Franklin,spotify:track:4yQw7FR9lcvL6RHtegbJBh
X202,Dizzy (Bonus Beat),Tommy Roe,spotify:track:2INKkAJCkQg6Iuu4X2QYfd
X203,You Did It,Ann Robinson,spotify:track:4SqoTCjnqcFbR9Jucthj1E
X204,The Magic Number,Bob Dorough,spotify:track:7MFYyeIFUMaY40uFoibJwa
X205,The Message,Cymande,spotify:track:5ksTcsxypJwYLMvEww4QKq
X206,Haven't You Heard,Patrice Rushen,spotify:track:1AAanCnoJF7USJKG9dEjey
X207,Super Freak,Rick James,spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca
X208,You Can't Hide From Yourself,Teddy Pendergrass,spotify:track:0P1CIWMLDE56pE3SQ2Hacq
X209,Back Stabbers,The O'Jays,spotify:track:0KpMY3D2G8253VTZbDBUmA
X210,Get Up,Vernon Burch,spotify:track:5wq7C6YQUqeMMrIteHhHCs
X211,Why,Carly Simon,spotify:track:6Wux9SSXcUdgwG7TItGTJz
X212,I Love You More,George Duke,spotify:track:5LYkSMSgRRaxRUecVb9re9
X213,Cantaloupe Island,Herbie Hancock,spotify:track:1tckg6GRaTodmxnDd4Cxkl
X214,Summer Madness,Kool & The Gang,spotify:track:2uMqG8w8oi09fB2YA2QLOm
X215,There But For The Grace Of God Go I,Machine,spotify:track:2VWrlIXmQ3LuyI8n7OyTWb
X216,Hot Pants Road,The J.B.'s,spotify:track:6YYy6cE5nvb7HsD975BR3H
X217,All Night Long,The Mary Jane Girls,spotify:track:7iyjZ4paFWpTrJJenM0yZb
X218,You Can't Do It Alone,Chic,https://open.spotify.com/track/0QkznAcYoiBjrg6ZqCcS4A?si=65c9afdc51f04313
X219,Woman Of The Ghetto,Marlena Shaw,spotify:track:0z1TeLDrZlBVhFpC5hC4SE
X220,Shoo-Be-Doo-Be-Doo-Da-Day,Michael Jackson,spotify:track:6EjQR6RKHRbnyAf32jvpky
X221,Let's All Chant,Michael Zager Band,spotify:track:4pFVGTf6TWtK5T4N7gzhFr
X222,Stratus,Billy Cobham,spotify:track:1BYVhbLZ6PAsv36Gc8iPuK
X223,Westchester Lady,Bob James,spotify:track:2mDGhn1uBk2ehj4q5foh9b
X224,Misty Blue,Dorothy Moore,spotify:track:20JcxdRw8gvqTY1EEpYxHb
X225,Mess Around,Ray Charles,spotify:track:7DJsL4jyXA39GDiHFQYQ0t
X226,All This Love That I'm Giving,Gwen McCrae,spotify:track:1yNEfFvqryTgN4wptVP5qO
X227,Evil Vibrations,Mighty Ryeders,spotify:track:277DcfMOgfgEoMCAGaVOxh
X228,You Showed Me,The Turtles,spotify:track:7j1ABZOylWUPUIZTt5x6AL
X229,Shifting Gears,Johnny Hammond,spotify:track:03jYH3Pr8K0z2oNwfMA2DC
X230,Let It All Hang Out,Los Hombres,spotify:track:1SCnrq7aAvg2MIddieSQ9n
X231,Looking Up To You,Michael Wycoff,spotify:track:5YPIX0GlnaAxaJBFJydMT4
X232,P-Funk (Wants To Get Funked Up) (Dr Dre - Roaches),Parliament,spotify:track:0GIfaHgivfBCV67eYF996A
X233,Aht Uh Mi Hed,Shuggie Otis,spotify:track:3bGVC25HcISA1ApJwux1LF
X234,Supernatural Thing,Ben E. King,spotify:track:6XHBV6lqoW0GTNYL43VMfv
X235,Sometimes,Bessie Jones,spotify:track:2SAWOoDsgdXqeQihHVR4hL
X236,What You Won't Do For Love,Bobby Caldwell,spotify:track:0clxMioV4cIuKl6g7IZhP9
X237,Josephine,Chris Rea,spotify:track:6JFfOp1LTXnyDCTfHlOc9j
X238,What A Man,Linda Lyndell,spotify:track:7dwJqwTXDtsrX1QLqb0o96
X239,Summer In The City,Quincy Jones,spotify:track:39eFFeKv7QaTBIukk7TYVu
X240,I'm A Good Woman,Barbara Lynn,spotify:track:4uPhgJrU9MlUy9LLK1Ls5E
X241,Tahitan Sunset,Bert Kaempfert & his Orchestra,spotify:track:4BRm4UuRtlBaczhj9rNnz3
X242,Brothers Gonna Work It Out,Blake Baxter,https://www.youtube.com/watch?v=XwJsf2SO9fo
X243,The Beat Goes On,Buddy Rich,https://open.spotify.com/track/4eaNNMhlPpSLzin4jF4eNt?si=9c6cf38b6f304787
X244,Soup For One,Chic,https://open.spotify.com/track/2Rr4ZOnKXUrzjhMPkmkRjK?si=e86149a772414868
X245,For A Few Dollars More,Ennio Morricone,spotify:track:5oxR6jd4QcS7Xok8zACD6I
X246,The Glow Of Love,Change,spotify:track:2tpRtiVvuI4WnwpPYwk9Z6
X247,Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,spotify:track:4pW3aTX3kAmOaPJfc9UM12
X248,House Of Mirrors,David McCallum,spotify:track:3Mno0GQKsjT0amjxRuzB7b
X249,I Can't Go For That,Hall & Oates,spotify:track:1bwgAeL1xmQf5iGm8768zm
X250,Golden Girl,John Barry,spotify:track:7C7Os9Dr3EAm5W9DycwrFX
X251,Chant Number No 1 (Don't Need This Pressure On) (Rui Da Silva - Touch Me),Spandau Ballet,https://open.spotify.com/track/4ptH8ZezI5K24ej6bIBh7U?si=9c11ce2952644a61
X252,Daydream,The Gunter Kallmann Choir,spotify:track:0F6pFZDlQSiQBWsjQZFbTH
X253,I Can't Stand The Rain,Ann Peebles,spotify:track:2vIMf356EBI1vnNZxpIJDU
X254,What I Am,Edie Brickell & The New Bohemians,spotify:track:6hHUiDe461VUoTHnsplRYs
X255,Danube Incident,Lalo Schifrin,spotify:track:2QqouLGFYMynquwDMYUGk1
X256,Keep On Jumpin',Musique,spotify:track:6J9rBgsm9USju9PkLf2exF
X257,Life In A Northern Town,The Dream Academy,spotify:track:1crabpT7nioNNTUPsOavlz
X258,Everybody's Gotta Learn Sometime,The Korgis,spotify:track:484VRRpsKamhak9rUCZf6n
X259,My Way Of Life,Bert Kaempfert,spotify:track:117aNk41AzBZrJpafq40RR
X260,"Ashes, The Rain And I",James Gang,spotify:track:5iE5Z4FuJg1YufCwPppmFY
X261,Drumbeat,Jim Ingram,https://www.youtube.com/watch?v=1YCrEGGacuY
X262,Buddy X,Neneh Cherry,https://open.spotify.com/track/23Lr7C7wMMeIOJK3ZVYMe5?si=8561e22af77e4d38
X263,Everybody's Talkin',Nilsson,spotify:track:7Bmv1o8Z50kYJpTJaMod2D
X264,Old Cape Cod,Patti Page,spotify:track:6Mhvr0ZMtWXoebhx9etyEt
X265,Viva Tirado,El Chicano,spotify:track:6wbDINxAd1kUxvR3PKtUwR
X266,Any Other Name,Thomas Newman,spotify:track:33B1XmfncHqnfkrYZIcHbD
X267,Troubled So Hard,Vera Hall,spotify:track:6jHRX8jJqdDCEtsTo2Z82b
X268,The Human Abstract,David Axelrod,spotify:track:4nZVh6X19GZwrw9QAbJ4rQ
X269,I Won't Hold You Back,Toto,https://open.spotify.com/track/7D4EtbE7LfQiH8CWj7fQoz?si=ef74736fc17c4263
X270,Hard Times,Baby Huey,spotify:track:7ycU5Bxfn2fIZjXJypfdRM
